sentence_id,score
100464,-2.0
13530,4.0
110562,0.0
39529,0.0
151609,0.0
129248,3.0
38136,2.0
84783,0.0
168601,0.0
159099,0.0
53152,2.0
135612,0.0
165240,2.0
71844,0.0
173613,0.0
122642,0.0
148103,-2.0
99041,8.0
102893,0.0
170750,0.0
172716,0.0
140505,0.0
79578,0.0
116244,0.0
144288,3.0
139197,0.0
160449,1.0
110959,0.0
71395,3.0
171993,0.0
111792,0.0
58520,3.0
69349,0.0
13488,-4.0
20537,0.0
123790,0.0
94338,0.0
56616,0.0
28346,2.0
128285,0.0
102032,2.0
52179,0.0
105652,0.0
130284,2.0
43932,2.0
81230,0.0
153310,3.0
121987,0.0
95839,4.0
59688,2.0
31442,0.0
146914,3.0
61217,3.0
143191,2.0
43167,0.0
151363,0.0
47830,0.0
105512,0.0
100077,-1.0
78173,-3.0
81853,0.0
43886,-4.0
105260,0.0
150985,-1.0
173499,-1.0
136180,-2.0
72780,2.0
57936,3.0
24058,-2.0
35967,0.0
66457,2.0
88243,0.0
164480,6.0
40283,0.0
169515,0.0
25450,2.0
59245,-2.0
70698,-2.0
173112,0.0
147065,0.0
88025,2.0
70936,-1.0
91182,5.0
129643,0.0
159764,0.0
160696,2.0
93268,7.0
55052,0.0
71141,2.0
34968,0.0
30919,0.0
123424,3.0
52871,1.0
39753,6.0
80476,0.0
91473,2.0
82853,0.0
32817,0.0
150748,2.0
162178,0.0
15567,0.0
80819,0.0
133273,0.0
91427,2.0
132085,0.0
22990,2.0
16880,2.0
92863,0.0
143916,6.0
96159,7.0
76448,3.0
156789,0.0
136301,0.0
151068,0.0
37678,12.0
23251,2.0
150588,3.0
141904,3.0
79111,-2.0
151685,0.0
9677,0.0
57444,2.0
62518,0.0
125024,0.0
30495,3.0
76761,0.0
106557,0.0
115280,-1.0
104177,0.0
15233,0.0
141116,2.0
116227,0.0
106985,0.0
160950,0.0
158309,0.0
168898,0.0
135815,0.0
39544,-2.0
38619,0.0
14858,0.0
79441,3.0
35789,2.0
149119,0.0
133737,2.0
82071,0.0
173816,0.0
163385,0.0
32713,0.0
89832,2.0
105496,1.0
69231,3.0
87045,0.0
12377,0.0
152481,0.0
119856,4.0
90209,0.0
139556,0.0
17031,0.0
21833,0.0
21485,0.0
167284,2.0
24038,0.0
96419,0.0
99427,0.0
48526,0.0
59117,-1.0
75608,3.0
78324,0.0
162597,-1.0
115748,0.0
49904,0.0
133557,0.0
50547,1.0
64797,0.0
70778,0.0
166931,0.0
80737,0.0
63857,0.0
36875,3.0
17600,0.0
159626,0.0
29508,0.0
118119,0.0
126427,0.0
144820,0.0
39952,0.0
116698,0.0
97141,0.0
111121,0.0
44035,1.0
53685,0.0
139385,0.0
141883,0.0
15384,0.0
71794,3.0
173912,3.0
117048,0.0
62237,0.0
14595,0.0
58813,0.0
172999,3.0
87079,0.0
43959,0.0
29524,3.0
144620,0.0
137045,1.0
55900,2.0
16103,0.0
104345,0.0
50752,0.0
61715,0.0
101689,0.0
130249,-2.0
125131,-1.0
124151,0.0
108103,-2.0
27112,0.0
137546,0.0
82136,0.0
101741,0.0
157955,0.0
54523,0.0
68371,0.0
67669,0.0
32389,0.0
51459,0.0
166478,0.0
16799,-2.0
113964,0.0
138453,-8.0
63303,0.0
166275,0.0
71546,0.0
63194,4.0
33391,2.0
57998,3.0
41479,0.0
20514,3.0
63561,0.0
135627,0.0
13387,0.0
141076,0.0
12506,0.0
32839,0.0
151983,0.0
65495,2.0
110740,0.0
57480,2.0
59769,0.0
54469,1.0
24584,0.0
60751,-1.0
54518,-5.0
56936,0.0
18332,2.0
31897,0.0
16395,0.0
115605,0.0
17959,0.0
148200,0.0
110369,8.0
70946,2.0
169698,0.0
68862,0.0
92760,0.0
57532,-1.0
137164,0.0
34886,-2.0
52104,0.0
74063,0.0
99811,0.0
101338,2.0
15604,2.0
21296,-2.0
73652,0.0
105082,0.0
130981,0.0
13639,-2.0
132965,3.0
53828,0.0
134283,0.0
105903,-2.0
86770,-2.0
131952,3.0
85011,3.0
103150,0.0
106970,0.0
50608,0.0
168265,0.0
78828,0.0
128088,0.0
118870,3.0
60531,0.0
68724,3.0
169399,0.0
85672,3.0
113270,0.0
25562,3.0
155059,0.0
100424,0.0
114850,0.0
26239,-3.0
19301,0.0
24862,0.0
111346,2.0
51268,-2.0
148277,2.0
136292,0.0
141021,0.0
56101,0.0
83168,0.0
55101,0.0
92164,4.0
102136,0.0
81775,0.0
54267,0.0
56694,0.0
100548,0.0
69405,0.0
117396,0.0
93577,3.0
122960,0.0
157423,-2.0
66062,0.0
134963,-2.0
72497,0.0
19056,0.0
96642,0.0
104905,0.0
66158,0.0
98413,0.0
86263,0.0
123444,0.0
59583,-2.0
91489,2.0
133888,0.0
161651,0.0
154271,0.0
137425,0.0
28436,0.0
30861,-2.0
59585,3.0
42004,0.0
77616,0.0
32655,0.0
26539,0.0
99377,0.0
47868,-2.0
78139,0.0
41427,0.0
55665,0.0
145766,2.0
