sentence_id,polarity
100464,0.0
13530,0.8
110562,0.0
39529,0.0
151609,0.0
129248,1.0
38136,0.0
84783,0.0
168601,1.0
159099,0.0
53152,0.0
135612,0.0
165240,0.0
71844,0.0
173613,0.0
122642,0.0
148103,-0.375
99041,0.9
102893,-0.15
170750,0.0
172716,0.0
140505,0.0
79578,0.0
116244,0.1
144288,0.5
139197,0.0
160449,0.5
110959,0.0
71395,0.79062
171993,-0.5
111792,0.0
58520,0.55
69349,0.0
13488,-0.8
20537,0.0
123790,0.0
94338,0.0
56616,0.0
28346,0.0
128285,0.08333
102032,-0.07576
52179,0.0
105652,0.0
130284,0.0
43932,0.5625
81230,0.0
153310,1.0
121987,0.0
95839,0.03333
59688,0.64391
31442,0.0
146914,0.5
61217,0.8
143191,0.0
43167,0.0
151363,0.0
47830,-0.3125
105512,0.04688
100077,-0.1
78173,-0.7
81853,0.0
43886,-0.305
105260,1.0
150985,-0.05
173499,-0.175
136180,0.26667
72780,1.0
57936,0.6
24058,-0.12083
35967,-0.0625
66457,0.5
88243,-0.16667
164480,0.0
40283,0.39062
169515,0.0
25450,0.0
59245,0.11212
70698,-0.13542
173112,0.0
147065,0.0
88025,0.0
70936,0.0
91182,0.8
129643,0.0
159764,0.0
160696,0.0
93268,0.40278
55052,0.0
71141,-0.25
34968,0.0
30919,0.0
123424,0.8
52871,0.15
39753,0.8
80476,0.0
91473,0.0
82853,0.0
32817,0.0
150748,0.66667
162178,0.0
15567,0.0
80819,0.0
133273,0.5
91427,0.13333
132085,0.0
22990,-0.2
16880,0.0
92863,0.0
143916,0.8
96159,0.41667
76448,1.0
156789,0.0
136301,0.13636
151068,-0.1
37678,0.23333
23251,0.0
150588,0.0
141904,0.8
79111,-0.6
151685,0.0
9677,0.0
57444,0.35
62518,0.0
125024,0.0
30495,0.8
76761,1.0
106557,0.0
115280,0.0
104177,0.0
15233,0.0
141116,0.16667
116227,0.0
106985,0.0
160950,0.0
158309,0.0
168898,0.28854
135815,0.0
39544,-0.6
38619,0.0
14858,0.0
79441,0.0
35789,0.0
149119,0.0
133737,0.55
82071,0.0
173816,0.0
163385,0.0
32713,0.0
89832,0.41667
105496,0.5
69231,0.0
87045,0.0
12377,0.0
152481,0.0
119856,0.39286
90209,0.0
139556,0.0
17031,0.0
21833,0.0
21485,0.0
167284,0.4
24038,0.0
96419,0.0
99427,0.0
48526,0.0
59117,0.0
75608,0.0
78324,0.4125
162597,-0.6
115748,0.0
49904,0.0
133557,0.0
50547,0.0
64797,0.0
70778,0.0
166931,0.0
80737,0.0
63857,0.0
36875,0.8
17600,0.0
159626,0.0
29508,0.0
118119,0.0
126427,0.0
144820,0.0
39952,0.0
116698,0.0
97141,0.0
111121,0.0
44035,0.0
53685,0.0
139385,0.0
141883,0.0
15384,0.0
71794,0.7
173912,0.675
117048,0.0
62237,0.0
14595,0.0
58813,-0.16667
172999,0.8
87079,0.0
43959,0.0
29524,1.0
144620,0.0
137045,0.0
55900,-0.21667
16103,0.35
104345,0.0
50752,0.0
61715,0.0
101689,0.0
130249,-0.6
125131,0.0
124151,0.0
108103,-0.8
27112,-0.1875
137546,0.0
82136,0.0
101741,0.0
157955,0.0
54523,0.0
68371,0.15
67669,0.0
32389,0.0
51459,0.0
166478,0.0
16799,-0.8
113964,0.0
138453,-0.3
63303,0.0
166275,0.0
71546,0.0
63194,0.5
33391,0.2
57998,0.225
41479,0.0
20514,0.8
63561,0.0
135627,0.0
13387,-0.075
141076,0.0
12506,0.0
32839,0.0
151983,-0.2
65495,0.41667
110740,0.0
57480,0.0
59769,0.0
54469,-0.08333
24584,0.4
60751,0.8
54518,0.2
56936,0.0
18332,0.0
31897,0.0
16395,0.0
115605,0.0
17959,0.0
148200,0.0
110369,0.83333
70946,0.35
169698,-0.125
68862,0.0
92760,0.0
57532,0.0
137164,0.0
34886,-0.5
52104,0.08333
74063,0.0
99811,0.75
101338,0.0
15604,0.0
21296,0.0
73652,0.0
105082,0.0
130981,0.0
13639,-0.6
132965,0.8
53828,0.0
134283,0.0
105903,0.0
86770,0.0
131952,0.8
85011,0.0
103150,0.0
106970,0.0
50608,0.0
168265,0.0
78828,0.0
128088,0.0
118870,0.4
60531,0.0
68724,0.0
169399,0.0
85672,0.425
113270,0.0
25562,0.6
155059,0.0
100424,0.0
114850,0.0
26239,0.0
19301,0.0
24862,0.0
111346,-0.2
51268,-0.8
148277,0.6
136292,0.0
141021,-0.15
56101,0.0
83168,0.0
55101,0.33333
92164,0.65
102136,0.0
81775,0.0
54267,0.0
56694,-0.5
100548,0.0
69405,0.0
117396,0.0
93577,-0.15
122960,0.0
157423,-0.8
66062,0.0
134963,-0.2
72497,0.0
19056,0.0
96642,1.0
104905,0.0
66158,0.0
98413,0.0
86263,0.0
123444,0.0
59583,0.0
91489,0.8
133888,0.0
161651,0.0
154271,0.0
137425,0.0
28436,0.0
30861,-0.75
59585,0.8
42004,0.0
77616,0.0
32655,0.0
26539,0.0
99377,0.0
47868,-0.6
78139,0.0
41427,0.0
55665,0.0
145766,0.0
23766,0.0
91280,0.8
175133,0.0
136289,1.0
138600,0.0
140591,0.28571
10488,0.0
58247,0.0
126549,0.0
125121,0.0
139736,0.0
116273,0.0
58508,0.0
53696,0.85
90437,0.0
60535,0.0
15022,0.0
136267,0.15625
140126,0.0
150066,-1.0
66859,0.0
162127,0.0
60356,-0.4
148781,0.0
143694,0.17031
18715,-0.35
76270,0.0
67117,-0.6
129703,0.0
74291,0.0
40267,0.0
147485,0.0
159283,0.0
137059,0.3
71061,0.0
132179,0.0
73184,0.35
113641,0.10625
66022,0.0
10941,0.0
100141,-0.175
44277,0.4
173906,0.0
146286,0.0
118718,0.0
110130,0.0
117999,0.0
97456,0.8
152702,0.0
101185,0.0
164378,1.0
58750,0.0
77482,0.8
153615,0.0
130932,0.0
126289,0.0
73732,0.0
114875,0.0
152337,0.0
15924,0.0
85958,0.05
97052,0.0
102838,0.0
156112,0.5
43442,0.4
19372,0.0
133156,0.0
163733,0.125
64103,0.0
108138,0.0
163564,1.0
140582,0.0
78935,0.0
82411,0.0
170206,0.0
149630,-0.625
124508,1.0
10164,-0.25
62245,0.0
162644,-1.0
15181,0.6
66867,0.0
30830,0.0
70934,0.0
122306,0.0
25895,0.0
47456,0.0
63616,0.0
104391,0.0
65347,0.0
64170,0.14583
125669,0.0
118033,0.65
39274,-0.25758
103942,0.41667
160305,0.0
51221,0.0
65969,0.13636
76635,-0.07102
9993,0.0
18215,0.375
34525,0.4375
132817,0.55
48639,0.0
72585,0.0
24328,0.7125
47450,0.0
62653,0.20833
118555,0.1
37461,0.0
129750,-0.5
35266,0.0
90272,0.0
166379,0.3
102563,0.0
135428,0.11667
94072,0.1
57092,0.0
126018,0.0
14928,0.0
174910,0.0
117497,-0.4
20409,0.17917
22399,0.4
138028,0.0
115668,0.0
